Santhali_word,English_words,Grammer,Audio_links
huɖiŋ,little,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv26_M_little_2.mp3
hui dɑɽeɑʔɑ,possible,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj50_F_possible.mp3
iːn,Heart,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Heart.mp3
iɑi,seven,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num7_M_seven.mp3
iɑi gɛl,seventy,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num70_M_seventy.mp3
iɑi gɛl t(ə)rui,seventysix,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num76_M_seventysix.mp3
iɖi,heel,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP29_J_heel.mp3
ik’,excrement,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP63_J_excrement_2.mp3
in,heart,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP16_J_heart_2.mp3
inkʰoŋ mɑɽɑŋ,infront,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP21_F_infront.mp3
intɑlɑre,inmiddleof,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP23_F_inthemiddleof.mp3
iɲ,I,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro9_M_I.mp3
iɲ ɑr ɑm,meandyou,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro33_M_meandyou.mp3
iɲɑʔ,my,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro10_F_my.mp3
iɲɑʔ lɑhɑre,infrontof,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP22_F_infrontof.mp3
iŋ surɛ,nearhere,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP25_M_nearhere.mp3
irɛl,eight,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num8_M_eight.mp3
irɛl gɛl,eighty,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num80_M_eighty.mp3
irilin kuɽi,sister-in-law,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU27_F_sisterinlaw.mp3
isinɑkɑnɑ,cooked,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj17_F_cooked.mp3
itil,fat,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj28_M_fat_2.mp3
itil,fat(n),noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN18_F_fat.mp3
iʈɑʔɑ hɔɽ,other,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj48_F_other.mp3
iʔ,Excrement,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_JNH_Excrement.mp3
jɑŋ,bone,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP46_J_bone.mp3
jɑŋgɑ,foot,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP34_G_foot.mp3
jɑŋgɑ kɑʈuk’,toe,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP35_G_toe_2.mp3
jɑŋgɑ rənɑʔ rɑmɑ,toenail,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP36_G_toenail_3.mp3
jɑw̃ɑi,husband,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU12_M_husband.mp3
jɑw̃ɑi goŋkeɲ,son-in-law,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU29_M_soninlaw.mp3
jəlɑm,fishnet,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult16_F_fishnet_2.mp3
